bdrc_id,en,zh,bo,bo_unicode,gender,birth,death,teachers,students,tol
P1,Könchok Gyaltsen|Kunchok gyaltsen,,dkon mchog rgyal mtshan,དཀོན་མཆོག་རྒྱལ་མཚན།,M,1965.0,,P4779,,1531.0
P4779,Tsé Nam,,tshe rnam,ཚེ་རྣམ།,M,1928.0,2005.0,P4782|P4783|P1GS66366|P4780|P4781|P4788|P4789|P4786|P4787|P4784|P4785,P1|P6676|P4CZ366777|P8LS12195|P8LS66281|P6264,7250.0
P4782,Gyurmé Namgyal,,'gyur med rnam rgyal,འགྱུར་མེད་རྣམ་རྒྱལ།,M,1886.0,1952.0,P5114|P706|P6002|P6042|P5996|P5995,P8099|P4783|P4779|P6024|P6023|P6020|P3JM46|P6022|P6021,7254.0
P5114,Nyak La Yeshe Dorjé,,nyag bla ye shes rdo rje,ཉག་བླ་ཡེ་ཤེས་རྡོ་རྗེ།,M,,,P2424,P4782|P8850,7616.0
P2424,Nyak La Pema Düdul,,nyag bla pad+ma bdud 'dul,ཉག་བླ་པདྨ་བདུད་འདུལ།,M,1816.0,1872.0,P6744|P698|P6010|P1710,P5970|P3AG24|P5114|P6061|P6057|P6002|P6243|P6058|P4CZ358160|P5995,4125.0
P6744,Khenchen Pema Benza|Pema vajra 01,,mkhan chen pad+ma badz+ra,མཁན་ཆེན་པདྨ་བཛྲ།,M,,1884.0,P2914|P2878|P8704|P252|P8702|P270|P701|P697|P699|P1710|P5055,P6965|P8704|P8702|P8746|P6955|P6002|P2424|P558|P6048|P8LS13218|P8072|P8695|P6961|P8693|P2JM309|P235|P7933|P5970|P8691|P2JM328|P8LS13242|P8006|P2JM332|P7274|P5055|P6962|P2JM284|P252|P6964|P723|P701|P4799|P258|P248|P7629|P2JM325|P2JM511|P5054|P2JM331|P3AG53|P2JM492|P5232,9355.0
P2914,Seng Truk Pema Tashi,,seng phrug pad+ma bkra shis,སེང་ཕྲུག་པདྨ་བཀྲ་ཤིས།,M,1798.0,,P8132|P2913|P1712|P695|P7404|P293|P8742|P8741|P1710,P6744|P270|P8744|P8743|P558|P7891|P2881|P697,4659.0
P8132,Pema Sang Ngak Tendzin,,pad+ma gsang sngags bstan 'dzin,པདྨ་གསང་སྔགས་བསྟན་འཛིན།,M,1731.0,1805.0,P8741|P677,P2914|P695|P9099|P6006|P8701,10827.0
P8741,Bar La Tashi Gyatso,,'bar bla bkra shis rgya mtsho,འབར་བླ་བཀྲ་ཤིས་རྒྱ་མཚོ།,M,1714.0,,P2858|P2JM449|P2JM448|P2JM447|P674|P677,P8132|P2914|P8133|P293|P7404|P558|P2881|P697|P1710,11485.0
P2858,Ngawang Kün Ga Tendzin,,ngag dbang kun dga' bstan 'dzin,ངག་དབང་ཀུན་དགའ་བསྟན་འཛིན།,M,,,P796,P8741,4598.0
P796,Sangye Püntsok,,sangs rgyas phun tshogs,སངས་རྒྱས་ཕུན་ཚོགས།,M,1649.0,1705.0,P2518|P495|P2517|P2516|P2515|P5206|P777|P7087|P3510,P2858|P5214|P5202|P5209|P2519|P5696|P799,10644.0
P2518,Lhündrub Palden,,lhun grub dpal ldan,ལྷུན་གྲུབ་དཔལ་ལྡན།,M,1624.0,1697.0,P2513,P5214|P5202|P5209|P2519|P796,4226.0
P2513,Sherab Jungné,,shes rab 'byung gnas,ཤེས་རབ་འབྱུང་གནས།,M,1596.0,1653.0,P778|P779,P2518|P1AG76|P2517|P5206|P7087,4221.0
P778,Jampa Kün Ga Tashi,,byams pa kun dga' bkra shis,བྱམས་པ་ཀུན་དགའ་བཀྲ་ཤིས།,M,1558.0,1603.0,P460|P785|P2511,P2517|P0RK746|P779|P2513,10462.0
P460,Kün Ga Rinchen,,kun dga' rin chen,ཀུན་དགའ་རིན་ཆེན།,M,1517.0,1584.0,P609|P461|P9201|P783|P640|P638|P0RK215|P9202|P9203|P2510|P2387|P786,P780|P2510|P2664|P777|P778|P2387|P10481|P10480|P10485|P5647|P10484|P10483|P9151,7053.0
